'Tabelle 2.'1-1 b':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;
"Durchschnittliche Bevölkerung in Berlin 1990 - 2011
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Durchschnittliche Bevölkerung;;;;;;;;;;Durchschnittliche Bevölkerung;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;%2);53,5;53,6;53,7;53,8;53,9;53,9;53,9;53,9;54,0;54,1;54,1;54,2;54,2;54,2;54,2;54,2;54,3;54,4;54,5;54,6;54,5;54,5
männlich;abs.;138.035;136.676;135.546;134.415;133.382;133.084;133.124;132.927;132.585;132.302;132.250;131.943;132.208;132.685;133.443;133.643;132.958;132.588;131.828;131.057;131.291;131.290
;%2);46,5;46,4;46,3;46,2;46,1;46,1;46,1;46,1;46,0;45,9;45,9;45,8;45,8;45,8;45,8;45,8;45,7;45,6;45,5;45,4;45,5;45,5
ausländisch;abs.;30.985;30.320;29.854;29.152;28.256;27.752;27.357;26.680;26.177;25.804;25.684;25.618;25.810;25.842;26.098;26.135;25.464;24.714;23.371;21.410;20.163;18.999
;%2);10,4;10,3;10,2;10,0;9,8;9,6;9,5;9,2;9,1;8,9;8,9;8,9;8,9;8,9;9,0;9,0;8,7;8,5;8,1;7,4;7,0;6,6
;;;;;;;;;;;;;;;;;;;;;;;
Tempelhof-Schöneberg;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;336.829;335.479;333.817;332.156;331.826;332.480;333.874;334.967;336.343;337.623;338.049;338.220;338.386;339.684;342.587;344.863;345.725;347.288;346.954;345.473;344.386;342.045
;%1);9,7;9,7;9,7;9,7;9,7;9,8;9,8;9,9;9,9;10,0;10,0;10,0;10,0;9,9;9,9;9,9;10,0;10,0;10,0;10,0;10,0;10,0
