'Tabelle 2.'1-1 a':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;;
"Bevölkerung in Berlin 1990 - 2011 (Stand: 31.12.)
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Bevölkerung am 31.12.;;;;;;;;;;Bevölkerung am 31.12.;;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;3.501.872;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ausländisch;abs.;53.563;54.044;53.798;53.160;52.237;51.635;51.175;50.388;50.144;50.251;50.695;49.890;49.539;49.830;49.928;50.950;50.377;49.434;48.368;46.151;43.796;41.759;
;%2);15,9;16,1;16,1;16,0;15,7;15,5;15,4;15,1;14,9;14,9;15,0;14,8;14,7;14,7;14,7;14,8;14,6;14,3;13,9;13,3;12,7;12,1;
;;;;;;;;;;;;;;;;;;;;;;;;
Neukölln;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;318.106;312.158;312.367;309.892;306.713;305.458;305.900;305.701;306.798;307.311;306.894;306.117;307.113;308.047;309.637;312.918;314.916;314.297;313.552;312.027;309.410;307.217;
;%1);9,1;9,0;9,1;9,0;9,0;9,0;9,0;9,0;9,1;9,1;9,1;9,1;9,1;9,1;9,0;9,0;9,1;9,1;9,0;9,0;9,0;8,9;
weiblich;abs.;160.342;157.425;156.939;155.717;154.222;153.891;154.442;154.775;155.564;156.132;156.203;156.144;157.161;157.808;159.007;160.958;162.389;162.221;162.243;161.682;160.511;159.421;
;%2);50,4;50,4;50,2;50,2;50,3;50,4;50,5;50,6;50,7;50,8;50,9;51,0;51,2;51,2;51,4;51,4;51,6;51,6;51,7;51,8;51,9;51,9;
männlich;abs.;157.764;154.733;155.428;154.175;152.491;151.567;151.458;150.926;151.234;151.179;150.691;149.973;149.952;150.239;150.630;151.960;152.527;152.076;151.309;150.345;148.899;147.796;
;%2);49,6;49,6;49,8;49,8;49,7;49,6;49,5;49,4;49,3;49,2;49,1;49,0;48,8;48,8;48,6;48,6;48,4;48,4;48,3;48,2;48,1;48,1;
ausländisch;abs.;70.264;67.094;70.257;70.397;68.832;67.952;67.770;66.502;66.401;65.918;65.361;64.242;63.740;62.556;61.520;60.503;58.882;56.880;54.969;53.043;50.006;46.914;
;%2);22,1;21,5;22,5;22,7;22,4;22,2;22,2;21,8;21,6;21,4;21,3;21,0;20,8;20,3;19,9;19,3;18,7;18,1;17,5;17,0;16,2;15,3;
;;;;;;;;;;;;;;;;;;;;;;;;
Treptow-Köpenick;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;244.701;242.583;241.052;239.405;237.777;236.524;235.336;234.701;233.805;232.974;233.065;231.002;229.404;226.882;223.606;219.581;216.434;215.944;215.345;213.488;212.244;211.665;
;%1);7,0;7,0;7,0;7,0;7,0;6,9;6,9;6,9;6,9;6,9;6,9;6,8;6,8;6,7;6,5;6,3;6,2;6,2;6,2;6,2;6,2;6,2;
weiblich;abs.;125.288;124.446;123.626;122.838;121.958;121.423;120.619;120.364;119.870;119.297;119.321;118.448;117.735;116.415;114.949;113.224;112.130;112.352;112.804;112.500;112.714;113.007;
